Year,Pathogen,Specimen,Location,Antibiotic,Resistance_Percentage
2021,Klebsiella spp.,All Specimens,OPD,Imipenem,31.0
2021,Klebsiella spp.,All Specimens,ICU,Meropenem,47.0
2021,Klebsiella spp.,All Specimens,IPD,Meropenem,19.0
2021,Klebsiella spp.,All Specimens,OPD,Meropenem,35.0
2021,Klebsiella spp.,All Specimens,ICU,Amikacin,43.0
2021,Klebsiella spp.,All Specimens,IPD,Amikacin,18.0
2021,Klebsiella spp.,All Specimens,OPD,Amikacin,35.0
2021,Klebsiella spp.,All Specimens,ICU,Gentamicin,48.0
2021,Klebsiella spp.,All Specimens,IPD,Gentamicin,28.0
2021,Klebsiella spp.,All Specimens,OPD,Gentamicin,45.0
2021,Klebsiella spp.,All Specimens,ICU,Ciprofloxacin,69.0
2021,Klebsiella spp.,All Specimens,IPD,Ciprofloxacin,49.0
2021,Klebsiella spp.,All Specimens,OPD,Ciprofloxacin,66.0
2021,Klebsiella spp.,All Specimens,ICU,TMP-SMX,59.0
2021,Klebsiella spp.,All Specimens,IPD,TMP-SMX,43.0
2021,Klebsiella spp.,All Specimens,OPD,TMP-SMX,58.0
2021,Klebsiella spp.,All Specimens,ICU,Nitrofurantoin,52.0
2021,Klebsiella spp.,All Specimens,IPD,Nitrofurantoin,44.0
2021,Klebsiella spp.,All Specimens,OPD,Nitrofurantoin,54.0
2021,Salmonella Typhi,Blood+Stool,Overall,Ampicillin,25.0
2021,Salmonella Typhi,Blood+Stool,Overall,Ceftriaxone,0.0
2021,Salmonella Typhi,Blood+Stool,Overall,Imipenem,0.0
2021,Salmonella Typhi,Blood+Stool,Overall,Ciprofloxacin,63.0
2021,Salmonella Typhi,Blood+Stool,Overall,TMP-SMX,67.0
2021,Salmonella Typhi,Blood+Stool,Overall,Azithromycin,0.0
2021,Salmonella Typhi,Blood+Stool,Overall,Chloramphenicol,33.0
2021,Salmonella Paratyphi A,Blood+Stool,Overall,Ampicillin,0.0
2021,Salmonella Paratyphi A,Blood+Stool,Overall,Ceftriaxone,0.0
2021,Salmonella Paratyphi A,Blood+Stool,Overall,Ciprofloxacin,100.0
2021,Salmonella Paratyphi A,Blood+Stool,Overall,TMP-SMX,0.0
2021,Salmonella Paratyphi A,Blood+Stool,Overall,Azithromycin,0.0
2021,Salmonella Paratyphi A,Blood+Stool,Overall,Chloramphenicol,0.0
2021,Salmonella Paratyphi B,Blood+Stool,Overall,Ampicillin,100.0
2021,Salmonella Paratyphi B,Blood+Stool,Overall,Ceftriaxone,0.0
2021,Salmonella Paratyphi B,Blood+Stool,Overall,Ciprofloxacin,50.0
2021,Salmonella Paratyphi B,Blood+Stool,Overall,Chloramphenicol,0.0
2021,Pseudomonas spp.,All Specimens,Overall,Piperacillin-Tazobactam,13.0
2021,Pseudomonas spp.,All Specimens,Overall,Ceftazidime,28.0
2021,Pseudomonas spp.,All Specimens,Overall,Imipenem,14.0
2021,Pseudomonas spp.,All Specimens,Overall,Meropenem,16.0
2021,Pseudomonas spp.,All Specimens,Overall,Amikacin,18.0
2021,Pseudomonas spp.,All Specimens,Overall,Gentamicin,21.0
2021,Pseudomonas spp.,All Specimens,Overall,Ciprofloxacin,29.0
2021,Pseudomonas spp.,Blood,Overall,Piperacillin-Tazobactam,10.0
2021,Pseudomonas spp.,Blood,Overall,Ceftazidime,21.0
2021,Pseudomonas spp.,Blood,Overall,Imipenem,17.0
2021,Pseudomonas spp.,Blood,Overall,Meropenem,17.0
2021,Pseudomonas spp.,Blood,Overall,Amikacin,14.0
2021,Pseudomonas spp.,Blood,Overall,Gentamicin,16.0
2021,Pseudomonas spp.,Blood,Overall,Ciprofloxacin,18.0
2021,Pseudomonas spp.,PA+OSBF,Overall,Piperacillin-Tazobactam,14.0
2021,Pseudomonas spp.,PA+OSBF,Overall,Ceftazidime,30.0
2021,Pseudomonas spp.,PA+OSBF,Overall,Imipenem,12.0
2021,Pseudomonas spp.,PA+OSBF,Overall,Meropenem,16.0
2021,Pseudomonas spp.,PA+OSBF,Overall,Amikacin,19.0
